,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,Song Name
16063,0.675,0.769,5.0,-8.205,1.0,0.0447,0.191,3.58e-05,0.0926,0.771,140.067,363933.0,4.0,4,We Built This City (Re-Recorded) [Remastered]
16064,0.604,0.546,6.0,-7.787,1.0,0.026,0.374,0.0,0.0901,0.349,127.746,287213.0,4.0,4,Set the Night to Music
16065,0.564,0.821,2.0,-11.055,1.0,0.0383,0.147,0.0486,0.285,0.829,117.263,249373.0,4.0,4,Jane
16066,0.622,0.49,0.0,-7.486,1.0,0.0342,0.688,0.0,0.103,0.324,143.863,269280.0,4.0,0,Just Once - New Version
16067,0.563,0.184,8.0,-16.386,1.0,0.0417,0.689,0.0,0.129,0.194,128.048,227293.0,4.0,0,There's No Easy Way
16068,0.625,0.523,10.0,-10.903,1.0,0.0859,0.738,7.17e-06,0.125,0.666,90.226,217600.0,4.0,0,"Baby, Come To Me"
16069,0.487,0.423,2.0,-8.181,1.0,0.0243,0.658,0.0,0.109,0.334,88.883,253507.0,4.0,0,I Don't Have the Heart
16070,0.626,0.25,3.0,-17.499,1.0,0.0503,0.817,4.33e-05,0.0668,0.345,90.103,259040.0,4.0,0,One Hundred Ways
16071,0.818,0.512,0.0,-12.491,1.0,0.0363,0.183,4.2e-06,0.0439,0.96,117.842,279413.0,4.0,4,Yah Mo B There
16072,0.32,0.221,0.0,-16.302,1.0,0.0328,0.817,0.000137,0.0977,0.116,80.04,238173.0,4.0,0,"Somewhere Out There - From ""An American Tail"" Soundtrack"
16073,0.358,0.191,0.0,-16.062,1.0,0.0312,0.897,0.0,0.0768,0.115,74.719,254880.0,4.0,0,How Do You Keep The Music Playing
16074,0.741,0.456,7.0,-13.481,1.0,0.0272,0.682,4.28e-05,0.147,0.844,102.534,237627.0,4.0,0,Whatever We Imagine
16075,0.696,0.5,8.0,-8.748,1.0,0.0394,0.489,7.54e-06,0.268,0.423,90.0,277213.0,4.0,0,One Hundred Ways - New Version
16076,0.73,0.777,3.0,-5.194,0.0,0.0496,0.105,0.000478,0.0691,0.575,130.0,284867.0,4.0,2,On The Floor
16077,0.82,0.937,5.0,-4.81,0.0,0.0549,0.135,0.000122,0.35,0.906,130.992,239400.0,4.0,2,Let's Get Loud
16078,0.84,0.762,6.0,-5.454,1.0,0.226,0.00736,3.77e-06,0.0615,0.946,99.987,189765.0,4.0,3,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix
16079,0.758,0.686,11.0,-6.346,1.0,0.0792,0.0848,0.00127,0.142,0.444,130.007,230907.0,4.0,4,On The Floor - Radio Edit
16080,0.757,0.678,8.0,-5.529,0.0,0.233,0.0472,9.14e-06,0.0654,0.82,120.075,218235.0,4.0,3,Ain't Your Mama
16081,0.276,0.572,1.0,-7.818,1.0,0.0377,0.641,0.0,0.2,0.285,77.986,237467.0,4.0,0,El Ultimo Adiós - Varios Artistas Version
16082,0.741,0.759,0.0,-5.096,0.0,0.12,0.0218,0.0,0.628,0.362,97.084,225533.0,4.0,2,Get Right
16083,0.695,0.945,10.0,-6.165,0.0,0.0418,0.00341,0.0727,0.103,0.84,125.013,246427.0,4.0,2,Waiting for Tonight
16084,0.708,0.587,11.0,-7.93,0.0,0.151,0.273,0.0,0.0718,0.554,83.46,262133.0,4.0,2,I'm Real (feat. Ja Rule) - Murder Remix
16085,0.786,0.842,4.0,-5.115,0.0,0.0707,0.00305,3.54e-06,0.473,0.685,97.577,221227.0,4.0,2,Love Don't Cost a Thing
16086,0.672,0.854,0.0,-6.741,0.0,0.0301,0.00716,1.62e-06,0.117,0.725,153.579,250000.0,4.0,2,When the Rain Begins to Fall
16087,0.41,0.802,2.0,-6.44,0.0,0.0678,0.00468,0.865,0.0906,0.175,139.891,207429.0,4.0,2,WORTH NOTHING (feat. Oliver Tree) - Festival Edit / Fast & Furious: Drift Tape/Phonk Vol 1
16088,0.573,0.462,1.0,-9.634,0.0,0.0256,0.448,0.0,0.232,0.399,112.682,252547.0,4.0,2,Do What You Do
16089,0.713,0.434,1.0,-9.999,0.0,0.0275,0.681,0.0,0.106,0.544,112.535,288720.0,4.0,2,Do What You Do
16090,0.8,0.694,10.0,-9.07,0.0,0.0482,0.0732,2.13e-05,0.0646,0.895,108.679,267280.0,4.0,2,Tell Me I'm Not Dreaming (Too Good to Be True) (with Michael Jackson)
16091,0.754,0.778,10.0,-9.029,0.0,0.0526,0.0958,2.96e-06,0.245,0.935,109.602,214467.0,4.0,2,Let's Get Serious - Single Version
16092,0.742,0.593,1.0,-12.737,1.0,0.0704,0.149,3.01e-06,0.0249,0.86,89.826,300440.0,4.0,4,You Like Me Don't You
16093,0.643,0.242,4.0,-16.532,0.0,0.03,0.425,0.0,0.0872,0.662,81.329,184600.0,3.0,1,Daddy's Home
16094,0.853,0.484,3.0,-8.634,0.0,0.068,0.329,0.00013,0.0569,0.778,94.849,271013.0,4.0,2,Don't Take It Personal
16095,0.744,0.841,10.0,-10.165,0.0,0.0477,0.0814,1.14e-05,0.204,0.964,109.573,477267.0,4.0,2,Let's Get Serious
16096,0.634,0.539,11.0,-12.506,0.0,0.129,0.141,2.01e-05,0.0639,0.785,111.281,184777.0,4.0,2,Nice ‘n’ Slow
16097,0.785,0.634,11.0,-11.777,0.0,0.0473,0.288,0.765,0.0727,0.964,109.197,223533.0,4.0,2,Nice & Slow (Remastered 2022)
16098,0.802,0.603,2.0,-12.602,1.0,0.0718,0.0359,0.402,0.339,0.151,110.671,249000.0,4.0,4,Nice and Slow
