,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0,0.45,0.352,1.0,-11.733,0.0,0.267,0.649,3.8e-06,0.249,0.408,102.679,252747.0,4.0,3
1,0.416,0.298,7.0,-8.499,1.0,0.0442,0.635,2.16e-06,0.136,0.191,95.386,160173.0,4.0,0
2,0.612,0.423,5.0,-8.062,0.0,0.0508,0.588,0.0,0.117,0.18,135.841,214093.0,5.0,0
3,0.816,0.513,1.0,-8.363,1.0,0.244,0.0145,0.000102,0.14,0.17,96.981,296011.0,4.0,3
4,0.414,0.314,1.0,-12.943,0.0,0.0548,0.25,1.47e-05,0.117,0.09,84.993,200133.0,4.0,0
5,0.62,0.396,1.0,-15.498,0.0,0.206,0.735,0.000985,0.0976,0.774,87.865,201027.0,4.0,3
6,0.823,0.487,10.0,-8.416,0.0,0.347,0.086,2.85e-05,0.172,0.172,96.997,236333.0,4.0,3
7,0.635,0.709,10.0,-6.195,0.0,0.0482,0.246,5.24e-05,0.124,0.191,80.426,227560.0,4.0,2
8,0.429,0.4,5.0,-11.679,0.0,0.0882,0.629,3.25e-05,0.087,0.357,72.487,255066.0,4.0,0
9,0.5,0.638,6.0,-4.007,0.0,0.0756,0.66,0.0,0.366,0.698,81.145,224880.0,4.0,2
10,0.613,0.488,8.0,-7.37,1.0,0.0964,0.129,2.13e-05,0.335,0.183,172.076,190960.0,4.0,4
11,0.84,0.344,5.0,-8.613,0.0,0.0374,0.456,3.36e-05,0.35,0.526,111.994,199227.0,4.0,2
12,0.794,0.571,3.0,-9.884,0.0,0.114,0.323,6.1e-05,0.103,0.809,139.956,151907.0,4.0,2
13,0.785,0.27,5.0,-14.457,1.0,0.0892,0.255,0.00132,0.0953,0.12,131.894,160500.0,4.0,0
14,0.786,0.536,0.0,-7.955,0.0,0.0526,0.253,0.000172,0.183,0.375,119.043,207880.0,4.0,2
15,0.849,0.19,7.0,-9.628,1.0,0.0447,0.549,0.00229,0.102,0.203,113.955,200880.0,3.0,1
16,0.763,0.494,11.0,-6.857,0.0,0.0487,0.965,0.00173,0.173,0.347,88.011,147304.0,4.0,0
17,0.609,0.335,0.0,-9.378,1.0,0.0372,0.236,0.0,0.0595,0.342,85.077,201933.0,4.0,0
18,0.609,0.286,9.0,-13.184,1.0,0.0469,0.608,0.000591,0.122,0.14,151.86,250680.0,3.0,1
19,0.388,0.438,4.0,-12.215,1.0,0.137,0.624,0.00155,0.113,0.0527,89.935,220199.0,4.0,0
20,0.728,0.607,1.0,-8.417,0.0,0.132,0.133,0.0,0.0864,0.445,129.938,176702.0,4.0,2
21,0.742,0.645,6.0,-10.248,1.0,0.386,0.148,2.86e-05,0.0861,0.804,112.402,162147.0,4.0,3
22,0.424,0.606,6.0,-6.062,0.0,0.159,0.106,0.000272,0.144,0.397,213.788,342244.0,4.0,2
23,0.885,0.595,7.0,-5.487,1.0,0.286,0.656,4.42e-06,0.105,0.754,148.034,183760.0,4.0,3
24,0.926,0.68,2.0,-7.689,1.0,0.196,0.0471,0.000125,0.119,0.458,114.981,201240.0,4.0,3
25,0.752,0.705,1.0,-4.893,0.0,0.138,0.125,0.0,0.0919,0.694,129.966,240375.0,4.0,2
26,0.717,0.447,4.0,-9.529,0.0,0.369,0.193,0.0,0.0937,0.86,84.09,132232.0,4.0,3
27,0.824,0.848,8.0,-7.051,0.0,0.238,0.101,0.0193,0.1,0.968,134.978,128853.0,4.0,3
28,0.442,0.446,9.0,-11.354,0.0,0.786,0.278,0.0,0.308,0.295,51.539,161080.0,4.0,3
29,0.748,0.937,6.0,-5.506,0.0,0.173,0.16,0.0122,0.127,0.683,126.042,177707.0,4.0,2
30,0.83,0.695,6.0,-9.445,0.0,0.0716,0.0248,0.0755,0.0573,0.536,112.046,190373.0,4.0,2
31,0.738,0.75,11.0,-3.654,0.0,0.219,0.0167,0.00976,0.174,0.342,112.009,207840.0,4.0,3
32,0.824,0.396,2.0,-9.663,1.0,0.332,0.0323,0.00286,0.108,0.253,118.048,227707.0,4.0,3
33,0.794,0.757,6.0,-6.644,0.0,0.123,0.0267,0.000306,0.0621,0.615,107.99,186680.0,4.0,2
34,0.864,0.682,6.0,-6.73,0.0,0.386,0.208,5.27e-06,0.1,0.268,115.012,268087.0,4.0,3
35,0.835,0.527,7.0,-7.272,0.0,0.128,0.204,0.000423,0.283,0.611,106.003,218200.0,4.0,2
36,0.789,0.71,10.0,-6.323,0.0,0.131,0.0555,0.843,0.0601,0.6,111.038,183787.0,4.0,2
37,0.742,0.645,6.0,-10.248,1.0,0.386,0.148,2.86e-05,0.0861,0.804,112.402,162147.0,4.0,3
38,0.61,0.709,7.0,-7.143,1.0,0.241,0.00707,1.61e-05,0.273,0.33,100.489,232122.0,4.0,3
39,0.722,0.78,5.0,-8.623,0.0,0.0753,0.00659,0.047,0.0545,0.2,119.997,288097.0,4.0,2
40,0.777,0.414,6.0,-7.44,0.0,0.0946,0.00421,2.73e-05,0.0724,0.287,100.002,227880.0,4.0,2
41,0.699,0.255,4.0,-8.647,0.0,0.0303,0.405,0.00242,0.0985,0.242,132.031,106333.0,3.0,1
42,0.763,0.667,2.0,-6.285,1.0,0.085,0.021,2.4e-05,0.0715,0.75,95.864,260520.0,4.0,4
43,0.652,0.861,6.0,-4.863,0.0,0.0565,0.00743,2.25e-05,0.337,0.333,99.983,208747.0,4.0,2
44,0.691,0.501,1.0,-9.089,0.0,0.045,0.0499,0.00011,0.131,0.332,126.93,227947.0,4.0,2
45,0.676,0.5,1.0,-6.603,1.0,0.0513,0.00371,0.00278,0.114,0.0742,90.03,300729.0,4.0,4
46,0.501,0.451,6.0,-7.396,1.0,0.142,0.539,4.12e-06,0.113,0.612,200.015,146400.0,4.0,4
47,0.678,0.438,9.0,-8.847,0.0,0.0576,0.29,0.0,0.0838,0.501,81.498,247546.0,4.0,2
48,0.618,0.536,2.0,-9.577,0.0,0.0836,0.11,0.000413,0.102,0.126,119.094,248432.0,4.0,2
49,0.912,0.223,11.0,-12.424,0.0,0.321,0.26,8.87e-05,0.0786,0.354,139.965,212547.0,4.0,3
50,0.863,0.488,6.0,-10.101,0.0,0.291,0.484,0.0,0.15,0.744,134.889,122778.0,4.0,3
51,0.752,0.434,2.0,-10.759,1.0,0.453,0.782,0.0,0.0586,0.945,140.06,219429.0,4.0,3
52,0.579,0.393,7.0,-10.577,1.0,0.378,0.761,0.0,0.107,0.623,91.535,189474.0,4.0,3
53,0.786,0.333,6.0,-12.637,1.0,0.93,0.488,0.0,0.105,0.721,77.652,224615.0,4.0,3
54,0.819,0.466,8.0,-9.936,0.0,0.595,0.525,2.88e-05,0.162,0.726,80.005,221517.0,4.0,3
55,0.879,0.302,11.0,-10.616,0.0,0.389,0.67,1.9e-05,0.106,0.619,142.134,195898.0,4.0,3
56,0.623,0.408,6.0,-11.323,0.0,0.431,0.847,5.42e-05,0.15,0.476,144.126,153486.0,4.0,3
57,0.83,0.834,8.0,-6.572,1.0,0.17,0.112,0.0,0.0742,0.89,90.018,172795.0,4.0,4
58,0.833,0.23,11.0,-14.64,1.0,0.0689,0.673,0.000172,0.112,0.273,139.999,125726.0,4.0,0
59,0.813,0.424,1.0,-11.035,0.0,0.375,0.816,0.0,0.081,0.546,92.972,206452.0,4.0,3
60,0.795,0.565,3.0,-4.457,0.0,0.0948,0.131,0.0,0.0802,0.55,87.925,172342.0,4.0,2
61,0.87,0.479,9.0,-7.779,1.0,0.165,0.161,0.000157,0.209,0.717,104.059,159124.0,4.0,4
62,0.753,0.477,2.0,-7.739,0.0,0.0685,0.542,3.73e-05,0.107,0.527,83.485,201201.0,4.0,2
63,0.812,0.496,9.0,-5.969,0.0,0.297,0.271,0.0,0.0955,0.55,109.979,241293.0,4.0,3
64,0.6,0.659,4.0,-7.264,0.0,0.0542,0.176,0.0,0.111,0.307,89.955,221747.0,4.0,2
65,0.776,0.565,7.0,-10.609,1.0,0.105,0.36,8.81e-05,0.308,0.53,107.035,216992.0,4.0,4
