Song ID,Song Name,Artist Name
2vzWylXWogTG11HR0frews,I Can't Carry This Anymore,Anson Seabra
6X9ZLY4GUe4GB6moGblBIF,Kryptonite,Anson Seabra
0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),Sam Smith
7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,Sam Smith
1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,Sam Smith
5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,Sam Smith
3i0FkJYlU4MFfYkjFHXXAM,I'm Not Here To Make Friends,Sam Smith
3xgT3xIlFGqZjYW9QlhJWp,Dancing With A Stranger (with Normani),Sam Smith
2TeLIzFBe3hxkPR5FIQZut,Like I Can,Sam Smith
7t3Xdbufg7q2onVsR8RBdY,Fire On Fire,Sam Smith
5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),Sam Smith
34pRqzRiFcIuyRMuuEayzY,How Do You Sleep?,Sam Smith
3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,Ed Sheeran
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran
50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran
6fxVffaTuwjgEk5h9QyRjy,Photograph,Ed Sheeran
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran
2DB4DdfCFMw1iaR6JaR03a,Bam Bam (feat. Ed Sheeran),Ed Sheeran
1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,Ed Sheeran
6ZZf5a8oiInHDkBe9zXfLP,Curtains,Ed Sheeran
